"created per day",filters,filters,Count
"2018-02-01 00:00:00","referral:0","first_app:topfacemobappandroid","5,013"
"2018-02-01 00:00:00","referral:0","first_app:topfacemobappios","2,965"
"2018-02-01 00:00:00","referral:1","first_app:topfacemobappandroid","9,243"
"2018-02-01 00:00:00","referral:1","first_app:topfacemobappios","2,119"
"2018-02-02 00:00:00","referral:0","first_app:topfacemobappandroid","5,721"
"2018-02-02 00:00:00","referral:0","first_app:topfacemobappios","2,497"
"2018-02-02 00:00:00","referral:1","first_app:topfacemobappandroid","10,592"
"2018-02-02 00:00:00","referral:1","first_app:topfacemobappios","2,432"
"2018-02-03 00:00:00","referral:0","first_app:topfacemobappandroid","5,650"
"2018-02-03 00:00:00","referral:0","first_app:topfacemobappios","1,801"
"2018-02-03 00:00:00","referral:1","first_app:topfacemobappandroid","9,538"
"2018-02-03 00:00:00","referral:1","first_app:topfacemobappios","3,762"
"2018-02-04 00:00:00","referral:0","first_app:topfacemobappandroid","5,746"
"2018-02-04 00:00:00","referral:0","first_app:topfacemobappios","1,893"
"2018-02-04 00:00:00","referral:1","first_app:topfacemobappandroid","8,986"
"2018-02-04 00:00:00","referral:1","first_app:topfacemobappios","3,642"
"2018-02-05 00:00:00","referral:0","first_app:topfacemobappandroid","5,073"
"2018-02-05 00:00:00","referral:0","first_app:topfacemobappios","1,991"
"2018-02-05 00:00:00","referral:1","first_app:topfacemobappandroid","8,563"
"2018-02-05 00:00:00","referral:1","first_app:topfacemobappios","5,146"
"2018-02-06 00:00:00","referral:0","first_app:topfacemobappandroid","5,892"
"2018-02-06 00:00:00","referral:0","first_app:topfacemobappios","1,893"
"2018-02-06 00:00:00","referral:1","first_app:topfacemobappandroid","9,807"
"2018-02-06 00:00:00","referral:1","first_app:topfacemobappios","4,260"
"2018-02-07 00:00:00","referral:0","first_app:topfacemobappandroid","5,582"
"2018-02-07 00:00:00","referral:0","first_app:topfacemobappios","1,850"
"2018-02-07 00:00:00","referral:1","first_app:topfacemobappandroid","11,213"
"2018-02-07 00:00:00","referral:1","first_app:topfacemobappios","4,283"
"2018-02-08 00:00:00","referral:0","first_app:topfacemobappandroid","5,768"
"2018-02-08 00:00:00","referral:0","first_app:topfacemobappios","1,855"
"2018-02-08 00:00:00","referral:1","first_app:topfacemobappandroid","12,218"
"2018-02-08 00:00:00","referral:1","first_app:topfacemobappios","5,096"
"2018-02-09 00:00:00","referral:0","first_app:topfacemobappandroid","4,977"
"2018-02-09 00:00:00","referral:0","first_app:topfacemobappios","1,601"
"2018-02-09 00:00:00","referral:1","first_app:topfacemobappandroid","8,903"
"2018-02-09 00:00:00","referral:1","first_app:topfacemobappios","3,640"
"2018-02-10 00:00:00","referral:0","first_app:topfacemobappandroid","5,167"
"2018-02-10 00:00:00","referral:0","first_app:topfacemobappios","1,815"
"2018-02-10 00:00:00","referral:1","first_app:topfacemobappandroid","10,272"
"2018-02-10 00:00:00","referral:1","first_app:topfacemobappios","5,288"
"2018-02-11 00:00:00","referral:0","first_app:topfacemobappandroid","5,014"
"2018-02-11 00:00:00","referral:0","first_app:topfacemobappios","1,852"
"2018-02-11 00:00:00","referral:1","first_app:topfacemobappandroid","8,225"
"2018-02-11 00:00:00","referral:1","first_app:topfacemobappios","4,111"
"2018-02-12 00:00:00","referral:0","first_app:topfacemobappandroid","4,634"
"2018-02-12 00:00:00","referral:0","first_app:topfacemobappios","1,854"
"2018-02-12 00:00:00","referral:1","first_app:topfacemobappandroid","7,527"
"2018-02-12 00:00:00","referral:1","first_app:topfacemobappios","5,001"
"2018-02-13 00:00:00","referral:0","first_app:topfacemobappandroid","4,769"
"2018-02-13 00:00:00","referral:0","first_app:topfacemobappios","1,823"
"2018-02-13 00:00:00","referral:1","first_app:topfacemobappandroid","8,324"
"2018-02-13 00:00:00","referral:1","first_app:topfacemobappios","4,724"
"2018-02-14 00:00:00","referral:0","first_app:topfacemobappandroid","4,286"
"2018-02-14 00:00:00","referral:0","first_app:topfacemobappios","1,635"
"2018-02-14 00:00:00","referral:1","first_app:topfacemobappandroid","6,361"
"2018-02-14 00:00:00","referral:1","first_app:topfacemobappios","3,832"
"2018-02-15 00:00:00","referral:0","first_app:topfacemobappandroid","4,398"
"2018-02-15 00:00:00","referral:0","first_app:topfacemobappios","1,669"
"2018-02-15 00:00:00","referral:1","first_app:topfacemobappandroid","5,429"
"2018-02-15 00:00:00","referral:1","first_app:topfacemobappios","2,864"
"2018-02-16 00:00:00","referral:0","first_app:topfacemobappandroid","5,325"
"2018-02-16 00:00:00","referral:0","first_app:topfacemobappios","4,232"
"2018-02-16 00:00:00","referral:1","first_app:topfacemobappandroid","5,409"
"2018-02-16 00:00:00","referral:1","first_app:topfacemobappios","3,131"
"2018-02-17 00:00:00","referral:0","first_app:topfacemobappandroid","4,953"
"2018-02-17 00:00:00","referral:0","first_app:topfacemobappios","2,096"
"2018-02-17 00:00:00","referral:1","first_app:topfacemobappandroid","6,121"
"2018-02-17 00:00:00","referral:1","first_app:topfacemobappios","4,091"
"2018-02-18 00:00:00","referral:0","first_app:topfacemobappandroid","5,285"
"2018-02-18 00:00:00","referral:0","first_app:topfacemobappios","2,501"
"2018-02-18 00:00:00","referral:1","first_app:topfacemobappandroid","8,618"
"2018-02-18 00:00:00","referral:1","first_app:topfacemobappios","6,490"
"2018-02-19 00:00:00","referral:0","first_app:topfacemobappandroid","5,418"
"2018-02-19 00:00:00","referral:0","first_app:topfacemobappios","2,497"
"2018-02-19 00:00:00","referral:1","first_app:topfacemobappandroid","11,167"
"2018-02-19 00:00:00","referral:1","first_app:topfacemobappios","7,833"
"2018-02-20 00:00:00","referral:0","first_app:topfacemobappandroid","4,586"
